org.mockito,mockito-core,dbd2c1 ,2.2.17
org.mockito,mockito-core,dbd2c1 ,3.5.10
org.mockito,mockito-core,dbd2c1 ,3.0.0
org.mockito,mockito-core,dbd2c1 ,3.0.0
org.apache.lucene,lucene-core,b441e2 ,3.0.3
org.apache.lucene,lucene-core,b441e2 ,4.0.0
org.apache.lucene,lucene-core,b441e2 ,7.2.1
org.apache.lucene,lucene-core,b441e2 ,3.0.3
org.apache.lucene,lucene-core,b441e2 ,4.0.0
org.apache.lucene,lucene-core,b441e2 ,5.1.0
org.apache.lucene,lucene-core,b441e2 ,6.0.0
org.apache.lucene,lucene-core,b441e2 ,7.0.0
org.apache.lucene,lucene-core,b441e2 ,7.0.0
org.apache.lucene,lucene-core,b441e2 ,6.4.1
org.apache.lucene,lucene-core,b441e2 ,3.5.0
com.github.tomakehurst,wiremock,27eeb9 ,2.1.12
com.github.tomakehurst,wiremock,27eeb9 ,2.14.0
org.elasticsearch,elasticsearch,29148e ,0.90.1
org.elasticsearch,elasticsearch,29148e ,2.0.0
org.elasticsearch,elasticsearch,29148e ,2.3.0
org.elasticsearch,elasticsearch,29148e ,5.1.1
org.elasticsearch,elasticsearch,29148e ,5.6.10
org.elasticsearch,elasticsearch,29148e ,1.2.1
org.elasticsearch,elasticsearch,29148e ,2.0.0
org.elasticsearch,elasticsearch,29148e ,5.1.1
org.elasticsearch,elasticsearch,29148e ,5.1.1
org.elasticsearch,elasticsearch,29148e ,2.4.3
org.elasticsearch,elasticsearch,29148e ,2.0.0
org.elasticsearch,elasticsearch,29148e ,5.6.10
org.elasticsearch,elasticsearch,29148e ,5.6.10
org.elasticsearch,elasticsearch,29148e ,5.6.10
org.elasticsearch,elasticsearch,29148e ,1.2.1
org.elasticsearch,elasticsearch,29148e ,2.0.0
org.elasticsearch,elasticsearch,29148e ,5.1.1
org.elasticsearch,elasticsearch,29148e ,5.1.1
org.apache.solr,solr-solrj,90f043 ,5.2.1
org.apache.solr,solr-solrj,90f043 ,6.4.0
org.apache.solr,solr-solrj,90f043 ,6.6.2
org.mongodb,mongo-java-driver,63fc6d ,3.0.0
org.mongodb,mongo-java-driver,63fc6d ,3.11.0
org.mongodb,mongo-java-driver,63fc6d ,3.0.0
org.mongodb,mongo-java-driver,63fc6d ,3.6.4
org.mongodb,mongo-java-driver,63fc6d ,3.6.4
org.eclipse.jetty,jetty-server,f94585 ,9.2.4.v20141103
org.eclipse.jetty,jetty-server,f94585 ,9.4.27.v20200227
org.eclipse.jetty,jetty-server,f94585 ,9.4.14.v20181114
org.apache.tomcat.embed,tomcat-embed-core,aba6c6 ,9.0.37
org.apache.tomcat.embed,tomcat-embed-core,aba6c6 ,8.0.14
org.apache.tomcat.embed,tomcat-embed-core,aba6c6 ,9.0.7
com.datastax.cassandra,cassandra-driver-core,2b17a2 ,3.1.1
com.datastax.cassandra,cassandra-driver-core,2b17a2 ,3.7.2
org.apache.hbase,hbase-server,6bdc6e ,1.1.1
org.apache.hbase,hbase-server,6bdc6e ,1.4.5
org.apache.sshd,sshd-core,fd0c3e ,1.0.0
org.apache.sshd,sshd-core,fd0c3e ,2.1.0
org.hibernate,hibernate-core,022994 ,5.4.2.Final
org.hibernate,hibernate-core,022994 ,5.4.9.Final
org.bouncycastle,bcprov-jdk15on,2660e6 ,1.51
com.github.javaparser,javaparser-core,bb1d91 ,3.2.10
com.github.javaparser,javaparser-core,bb1d91 ,3.14.2
org.apache.tomcat,tomcat-catalina,5c8a33 ,8.0.14
com.github.jsqlparser,jsqlparser,1288c0 ,0.9.4
redis.clients,jedis,8ce424 ,2.2.1
redis.clients,jedis,8ce424 ,2.5.1
redis.clients,jedis,8ce424 ,3.3.0
redis.clients,jedis,8ce424 ,3.0.0
redis.clients,jedis,8ce424 ,3.3.0
org.rocksdb,rocksdbjni,c0da5f ,5.15.10
org.rocksdb,rocksdbjni,c0da5f ,5.11.3
com.lowagie,itext,7e0243 ,2.1.4
org.eclipse.jetty,jetty-util,3defd8 ,9.2.22.v20170606
com.google.guava,guava,a1e0af ,18.0
com.google.guava,guava,a1e0af ,23.5-jre
com.google.guava,guava,a1e0af ,23.5-jre
org.gitlab,java-gitlab-api,46a1a6 ,4.0.0
org.apache.cassandra,cassandra-all,3c7373 ,3.11.4
org.sonarsource.sonarqube,sonar-plugin-api,543ccd ,7.9
org.mapdb,mapdb,646715 ,0.9.13
org.mapdb,mapdb,646715 ,3.0.5
org.mapdb,mapdb,646715 ,3.0.5
org.mapdb,mapdb,646715 ,1.0.9
com.hazelcast,hazelcast,8c36d2 ,3.10.6
com.github.docker-java,docker-java,3c021a ,3.0.14
com.github.docker-java,docker-java,3c021a ,3.0.14
org.jsoup,jsoup,a363ec ,1.8.2
org.jsoup,jsoup,a363ec ,1.13.1
org.codehaus.groovy,groovy,065849 ,2.5.3
org.codehaus.groovy,groovy,065849 ,3.0.4
org.sonarsource.sonarqube,sonar-ws,a13269 ,7.3-alpha1
org.sonarsource.sonarqube,sonar-ws,a13269 ,7.9.1
org.sonarsource.sonarqube,sonar-ws,a13269 ,7.3-alpha1
com.squareup,protoparser,7b70df ,4.0.0
org.jmock,jmock,a76d7b ,2.8.3
com.yammer.metrics,metrics-core,16c1ec ,2.2.0
org.zeroturnaround,zt-exec,3ee488 ,1.8
com.tencent.angel,angel-ps-mllib,32aac1 ,3.0.1
